Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Visibility (km),Weather Type,Season_Autumn,Season_Spring,Season_Summer,Season_Winter,Location_coastal,Location_inland,Location_mountain
-0.41791044776119407,0.1910112359550562,-0.6082474226804124,0.5045871559633028,1,0.0559021774537074,-0.7142857142857143,-0.6499999999999999,1,False,False,False,True,False,True,False
-0.04477611940298509,0.7078651685393258,-0.6494845360824743,0.30275229357798183,1,0.05895913202535752,0.0,0.0,0,False,True,False,False,False,True,False
-0.17910447761194032,-0.011235955056179803,-0.711340206185567,-0.7064220183486238,0,0.09549224485704944,-0.2857142857142858,-0.44999999999999996,3,False,True,False,False,False,False,True
-0.059701492537313494,0.4157303370786516,-0.9381443298969072,0.5045871559633028,0,0.13322809391365364,0.0,-0.9,3,False,True,False,False,True,False,False
-0.2238805970149254,0.2134831460674158,-0.2989690721649485,0.21100917431192667,3,-0.045077551429502094,-0.8571428571428572,-0.75,1,False,False,False,True,False,False,True
-0.14925373134328362,-0.2134831460674158,-0.8556701030927836,-0.5229357798165137,3,0.051943170713372844,-0.7142857142857143,-0.5,0,False,False,True,False,False,True,False
-0.6567164179104478,0.7303370786516854,-0.6701030927835052,0.5779816513761469,3,-0.04407527124207533,-0.8571428571428572,-0.6,2,False,False,False,True,False,True,False
-0.582089552238806,0.4606741573033708,-0.7525773195876289,0.761467889908257,1,-0.0761983512490918,-0.8571428571428572,-0.6499999999999999,2,False,False,False,True,False,True,False
-0.582089552238806,0.4157303370786516,-0.7525773195876289,0.21100917431192667,3,-0.001127565210854442,-1.0,-0.9,2,False,False,False,True,False,False,True
-0.20895522388059706,0.2134831460674158,-0.6494845360824743,0.9633027522935782,0,0.0624671126813503,0.1428571428571428,-0.25,3,False,False,False,True,True,False,False
-0.10447761194029859,-0.4382022471910112,-0.7525773195876289,0.5779816513761469,1,-0.6002906612543537,-0.7142857142857143,-0.9,0,False,True,False,False,False,False,True
-0.059701492537313494,-0.4831460674157304,-0.9175257731958762,-0.7064220183486238,0,0.14781127064070798,0.5714285714285714,-0.25,3,True,False,False,False,False,True,False
-0.4477611940298508,-0.12359550561797761,-0.5670103092783505,-0.5412844036697247,1,0.08226214638302132,-0.5714285714285714,-0.44999999999999996,0,True,False,False,False,False,False,True
-0.7761194029850746,0.5056179775280898,-0.38144329896907214,0.2293577981651378,3,-0.06752862762785306,-1.0,-0.85,2,False,False,False,True,False,True,False
-0.2686567164179105,-0.9775280898876404,-0.8556701030927836,-0.8532110091743119,0,0.09629406900699067,0.1428571428571428,-0.44999999999999996,3,False,False,False,True,True,False,False
-0.4776119402985075,-0.3258426966292134,-0.731958762886598,-0.15596330275229353,1,0.0038838357262775958,-0.7142857142857143,-0.1499999999999999,0,False,False,True,False,False,False,True
-0.17910447761194032,-0.8426966292134832,-0.711340206185567,-0.7614678899082569,1,0.08376556666416057,-0.2857142857142858,-0.25,3,False,True,False,False,False,True,False
-0.13432835820895528,-0.303370786516854,-0.979381443298969,-0.5045871559633027,3,0.047683479916810434,-0.5714285714285714,-0.44999999999999996,0,True,False,False,False,True,False,False
0.01492537313432829,-0.4157303370786518,-0.979381443298969,-0.7247706422018348,0,0.13097296349194387,0.2857142857142856,-0.3999999999999999,3,False,True,False,False,False,False,True
-0.4328358208955224,0.842696629213483,-0.5051546391752577,0.32110091743119273,0,0.063068480793806,-0.4285714285714286,-0.19999999999999996,3,False,False,True,False,False,True,False
-0.7761194029850746,0.05617977528089879,-0.6494845360824743,0.3761467889908259,3,-0.04076774662356897,-0.8571428571428572,-0.7,2,False,False,False,True,False,False,True
-0.7313432835820896,0.5280898876404494,-0.48453608247422686,0.798165137614679,3,-0.09699566513818958,-0.8571428571428572,-0.7,2,False,False,False,True,False,True,False
-0.13432835820895528,-0.6404494382022472,-0.6907216494845361,-0.6697247706422018,0,0.07329173870555472,0.1428571428571428,-0.04999999999999993,3,False,False,True,False,False,False,True
-0.23880597014925375,0.1910112359550562,-0.44329896907216493,-0.4678899082568807,3,0.061915858578265315,-0.8571428571428572,-0.09999999999999998,0,False,False,True,False,False,True,False
-0.059701492537313494,0.4157303370786516,-0.711340206185567,0.8532110091743119,1,0.09158335212608737,-0.4285714285714286,-0.1499999999999999,0,False,True,False,False,False,False,True
-0.5671641791044777,0.3258426966292134,-0.9587628865979382,0.5596330275229358,1,-0.08587035505775642,-0.8571428571428572,-0.55,2,False,False,False,True,False,True,False
-0.373134328358209,0.1685393258426966,-0.6907216494845361,0.13761467889908263,3,0.05259465283520015,-0.7142857142857143,-0.7,1,False,False,True,False,False,False,True
-0.029850746268656803,-0.1685393258426966,-0.8350515463917526,-0.7798165137614679,1,0.10556516074068512,0.5714285714285714,-0.04999999999999993,3,False,False,False,True,True,False,False
-0.2686567164179105,-0.0786516853932584,-0.731958762886598,-0.944954128440367,1,0.09263574632288396,0.0,-0.44999999999999996,3,True,False,False,False,False,False,True
-0.17910447761194032,0.12359550561797739,-0.3402061855670103,-0.00917431192660545,1,0.04051717657671183,-1.0,-0.7,1,False,False,False,True,False,False,True
-0.20895522388059706,0.4606741573033708,-0.711340206185567,0.7798165137614679,3,-0.04307299105464946,-0.8571428571428572,-0.8,1,False,True,False,False,True,False,False
-0.5970149253731344,-0.0786516853932584,-0.31958762886597936,0.15596330275229375,3,-0.019669748678243337,-1.0,-0.9,2,False,False,False,True,False,True,False
-0.5671641791044777,0.6853932584269662,-0.8969072164948454,0.02752293577981657,3,-0.07534641308977896,-0.8571428571428572,-0.55,2,False,False,False,True,False,True,False
-0.4029850746268657,0.7303370786516854,-0.05154639175257736,0.669724770642202,3,0.048585532085494876,0.857142857142857,-0.75,1,False,False,False,True,False,False,True
-0.19402985074626872,0.101123595505618,-0.8762886597938144,-0.7247706422018348,0,0.06226665664386477,0.4285714285714284,-0.44999999999999996,3,False,False,False,True,False,True,False
-0.10447761194029859,-0.9775280898876404,-0.5876288659793815,-0.8899082568807339,0,0.13603447843844751,-0.2857142857142858,-0.25,3,True,False,False,False,True,False,False
-0.4626865671641791,0.5730337078651686,0.05154639175257736,0.3944954128440368,1,-0.017514846275276774,-1.0,-0.9,1,False,False,False,True,False,False,True
-0.5970149253731344,0.9101123595505618,-0.21649484536082475,1.0,3,-0.04001603648299934,0.0,-0.6499999999999999,2,False,False,False,True,False,False,True
-0.7611940298507462,-0.348314606741573,-0.9381443298969072,0.06422018348623859,1,0.6641860232027863,0.1428571428571428,0.6500000000000001,2,False,True,False,False,False,False,True
-0.2238805970149254,-0.011235955056179803,-0.5257731958762887,-0.3211009174311926,1,0.08822571349820851,-0.5714285714285714,-0.19999999999999996,0,True,False,False,False,True,False,False
-0.14925373134328362,-0.6179775280898876,-0.979381443298969,-0.8348623853211009,1,0.07178831842441546,0.5714285714285714,-0.1499999999999999,3,False,False,False,True,False,True,False
-0.08955223880597019,-0.9550561797752809,-0.9587628865979382,-1.0,0,0.14515522814402804,0.4285714285714284,-0.44999999999999996,3,False,False,True,False,False,False,True
-0.20895522388059706,-0.2359550561797754,-0.38144329896907214,-0.2844036697247706,1,0.09619384098824835,-0.5714285714285714,-0.1499999999999999,0,False,False,False,True,False,False,True
0.0,-0.011235955056179803,-0.9175257731958762,-0.6697247706422018,1,0.14475431606905698,0.1428571428571428,-0.19999999999999996,3,True,False,False,False,False,False,True
-0.31343283582089554,-0.4831460674157304,-0.5876288659793815,-0.7981651376146789,0,0.09895011150367061,0.5714285714285714,-0.3999999999999999,3,False,True,False,False,False,False,True
-0.2985074626865672,-0.3258426966292134,-1.0,-0.6697247706422018,0,0.08436693477661716,-0.2857142857142858,-0.19999999999999996,3,False,False,True,False,True,False,False
-0.13432835820895528,0.03370786516853941,-0.6288659793814433,-0.6697247706422018,1,0.07354230875241186,-0.5714285714285714,-0.3999999999999999,0,True,False,False,False,False,False,True
